Date,Generation (MU),Coal Cons. (MT),Spec. Coal (kg/kWh),CV (kcal/kg),Heat Rate (kcal/kWh)
2025-05-01,3.476454,3474,0.999,2823,2821
2025-05-02,3.559791,3535,0.993,2862,2842
2025-05-03,3.573826,3593,1.005,2829,2844
2025-05-04,3.744204,3727,0.995,2822,2809
2025-05-05,3.770273,3716,0.986,2844,2803
2025-05-06,3.883095,3527,0.908,3062,2781
2025-05-07,3.877651,3439,0.887,3113,2761
2025-05-08,3.775997,3530,0.935,3002,2806
2025-05-09,3.858468,3496,0.906,3095,2804
2025-05-10,4.168891,3710,0.89,3149,2802
2025-05-11,4.155415,3811,0.917,3061,2807
2025-05-12,4.129958,3745,0.907,3092,2804
2025-05-13,3.802905,3522,0.926,3066,2840
2025-05-14,3.874216,3735,0.964,2950,2844
2025-05-15,3.884808,3676,0.946,2991,2830
2025-05-16,3.711004,3757,1.012,2813,2848
2025-05-17,3.728168,3709,0.995,2852,2837
2025-05-18,3.906568,3681,0.942,2973,2801
2025-05-19,4.113634,3848,0.935,2993,2800
2025-05-20,4.099861,3758,0.917,3049,2795
2025-05-21,4.052914,3496,0.863,3263,2815
2025-05-22,3.799759,3303,0.869,3241,2817
2025-05-23,3.971867,3472,0.874,3226,2820
2025-05-24,4.08843,3593,0.879,3211,2822
2025-05-25,3.931195,3571,0.908,3112,2827
2025-05-26,1.766302,1587,0.898,3143,2824
2025-05-27,0.401773,356,0.886,3180,2818
2025-05-28,3.68178,3330,0.904,3125,2826
2025-05-29,3.872783,3585,0.926,3100,2870
2025-05-30,3.978159,3650,0.918,3085,2831
2025-05-31,2.184258,2098,0.960509,2957,2840
